# VVVID RA Dec l b Ks P Amp dist(kpc)
VVV2753018.99-334837.7 275:30:18.99 -33:48:37.7 -0.486 -9.153 15.14 0.569133 0.21 14.1
VVV2755732.00-335639.4 275:57:32.00 -33:56:39.4 -0.437 -9.55 14.241 0.473344 0.25 8.3
VVV2754035.87-334600.7 275:40:35.87 -33:46:00.7 -0.382 -9.261 13.935 0.740662 0.22 9.1
VVV2762559.18-340010.3 276:25:59.18 -34:00:10.3 -0.314 -9.929 14.146 0.51402 0.33 8.3
VVV2754847.00-334148.2 275:48:47.00 -33:41:48.2 -0.267 -9.331 15.229 0.59436 0.32 15.1
VVV2764500.00-340417.5 276:45:00.00 -34:04:17.5 -0.259 -10.195 15.319 0.589598 0.3 15.7
VVV2763717.00-335625.3 276:37:17.00 -33:56:25.3 -0.187 -10.041 14.184 0.559946 0.26 8.8
VVV2755001.53-333533.8 275:50:01.53 -33:35:33.8 -0.165 -9.3 13.903 0.699433 0.36 8.7
VVV2754604.58-332916.4 275:46:04.58 -33:29:16.4 -0.095 -9.205 14.246 0.750604 0.26 10.6
VVV2763215.83-334753.2 276:32:15.83 -33:47:53.2 -0.088 -9.916 14.122 0.697725 0.31 9.6
VVV2765228.59-335147.1 276:52:28.59 -33:51:47.1 -0.023 -10.196 13.743 0.664991 0.25 7.8
VVV2760418.87-333034.6 276:04:18.87 -33:30:34.6 0.0 -9.441 13.783 0.563393 0.31 7.3
VVV2761532.22-332926.7 276:15:32.22 -33:29:26.7 0.087 -9.573 14.809 0.522656 0.25 11.5
VVV2762158.12-333306.2 276:21:58.12 -33:33:06.2 0.072 -9.68 14.019 0.678785 0.25 9.0
VVV2765205.63-334444.1 276:52:05.63 -33:44:44.1 0.082 -10.14 15.173 0.493632 0.36 13.3
VVV2762939.84-333527.9 276:29:39.84 -33:35:27.9 0.084 -9.793 14.256 0.537678 0.29 8.9
VVV2762038.45-333047.8 276:20:38.45 -33:30:47.8 0.099 -9.646 14.073 0.539255 0.34 8.2
VVV2761732.22-332547.6 276:17:32.22 -33:25:47.6 0.155 -9.571 14.308 0.519095 0.3 9.0
VVV2765428.95-333604.6 276:54:28.95 -33:36:04.6 0.228 -10.107 13.448 0.607024 0.2 6.4
VVV2765711.13-333149.7 276:57:11.13 -33:31:49.7 0.31 -10.11 14.147 0.524216 0.38 8.4
VVV2765530.24-333032.0 276:55:30.24 -33:30:32.0 0.319 -10.079 13.757 0.492363 0.25 6.7
VVV2763657.89-332124.7 276:36:57.89 -33:21:24.7 0.343 -9.781 14.611 0.409182 0.3 9.1
VVV2761655.20-331200.1 276:16:55.20 -33:12:00.1 0.36 -9.461 14.397 0.652371 0.25 10.6
VVV2761654.96-331200.3 276:16:54.96 -33:12:00.3 0.36 -9.461 14.409 0.652371 0.27 10.7
VVV2765134.33-332519.9 276:51:34.33 -33:25:19.9 0.374 -9.992 13.836 0.62606 0.27 7.9
VVV2770344.66-332949.7 277:03:44.66 -33:29:49.7 0.381 -10.177 13.459 0.590455 0.22 6.4
VVV2760043.25-330313.4 276:00:43.25 -33:03:13.4 0.391 -9.193 14.49 0.603573 0.3 10.6
VVV2764929.76-331954.4 276:49:29.76 -33:19:54.4 0.444 -9.927 14.355 0.513735 0.32 9.1
VVV2762614.07-330651.3 276:26:14.07 -33:06:51.3 0.497 -9.54 14.359 0.502833 0.27 9.0
VVV2760239.14-325402.0 276:02:39.14 -32:54:02.0 0.542 -9.149 14.44 0.573694 0.26 10.1
VVV2760406.80-325426.8 276:04:06.80 -32:54:26.8 0.545 -9.171 13.982 0.483269 0.3 7.4
VVV2765317.11-331057.0 276:53:17.11 -33:10:57.0 0.603 -9.908 14.177 0.4875 0.32 8.1
VVV2761151.21-325009.0 276:11:51.21 -32:50:09.0 0.659 -9.236 13.987 0.535326 0.34 7.8
VVV2771617.82-331315.6 277:16:17.82 -33:13:15.6 0.711 -10.214 13.99 0.628587 0.23 8.5
VVV2764352.84-325844.0 276:43:52.84 -32:58:44.0 0.73 -9.701 12.981 0.416512 0.3 4.2
VVV2770710.90-330519.7 277:07:10.90 -33:05:19.7 0.775 -10.042 13.838 0.580134 0.32 7.6
VVV2763750.63-325030.6 276:37:50.63 -32:50:30.6 0.817 -9.565 13.993 0.611636 0.18 8.4
VVV2771327.30-325251.9 277:13:27.30 -32:52:51.9 1.004 -10.03 14.172 0.567524 0.3 8.8
VVV2771042.89-324040.5 277:10:42.89 -32:40:40.5 1.172 -9.906 14.745 0.583376 0.28 11.8
VVV2763902.58-322629.1 276:39:02.58 -32:26:29.1 1.189 -9.403 14.434 0.594569 0.21 10.3
VVV2763650.87-322459.8 276:36:50.87 -32:24:59.8 1.198 -9.364 14.754 0.624672 0.3 12.3
VVV2771305.28-323916.3 277:13:05.28 -32:39:16.3 1.208 -9.926 14.247 0.527629 0.27 8.8
VVV2765316.64-322845.3 276:53:16.64 -32:28:45.3 1.244 -9.599 14.077 0.558541 0.3 8.4
VVV2763120.75-321939.7 276:31:20.75 -32:19:39.7 1.244 -9.255 14.798 0.587475 0.31 12.2
VVV2763222.97-321657.6 276:32:22.97 -32:16:57.6 1.291 -9.248 14.581 0.534625 0.35 10.4
VVV2763146.41-321309.4 276:31:46.41 -32:13:09.4 1.345 -9.213 14.328 0.490855 0.3 8.8
VVV2773243.47-323112.6 277:32:43.47 -32:31:12.6 1.453 -10.116 14.389 0.598483 0.26 10.1
VVV2765058.13-321408.8 276:50:58.13 -32:14:08.8 1.451 -9.463 14.087 0.535149 0.19 8.2
VVV2772254.96-322656.1 277:22:54.96 -32:26:56.1 1.457 -9.96 13.985 0.511444 0.31 7.6
VVV2774409.49-323329.3 277:44:09.49 -32:33:29.3 1.49 -10.277 14.543 0.624707 0.24 11.1
VVV2774119.92-322237.8 277:41:19.92 -32:22:37.8 1.638 -10.162 14.691 0.490333 0.34 10.5
VVV2770331.88-320518.7 277:03:31.88 -32:05:18.7 1.664 -9.557 14.244 0.683667 0.33 10.1
VVV2765235.28-320024.7 276:52:35.28 -32:00:24.7 1.67 -9.382 14.889 0.643091 0.24 13.4
VVV2770210.55-320319.5 277:02:10.55 -32:03:19.5 1.686 -9.525 14.796 0.639672 0.3 12.7
VVV2765249.10-315856.3 276:52:49.10 -31:58:56.3 1.693 -9.374 15.542 0.639337 0.22 18.3
VVV2774605.04-321729.7 277:46:05.04 -32:17:29.7 1.745 -10.185 15.298 0.474944 0.38 13.8
VVV2772420.50-320407.5 277:24:20.50 -32:04:07.5 1.813 -9.812 14.175 0.514485 0.21 8.4
VVV2770024.84-331118.4 277:00:24.84 -33:11:18.4 0.642 -10.0 14.042 0.554896 0.31 8.2
VVV2761027.42-324524.7 276:10:27.42 -32:45:24.7 0.722 -9.183 14.176 0.527961 0.33 8.5
VVV2762034.92-322803.5 276:20:34.92 -32:28:03.5 1.048 -9.182 13.245 0.498788 0.24 5.3
VVV2770033.05-323429.1 277:00:33.05 -32:34:29.1 1.203 -9.733 13.588 0.734446 0.26 7.6
VVV2770948.40-322348.4 277:09:48.40 -32:23:48.4 1.423 -9.772 14.087 0.509315 0.26 8.0
VVV2774249.21-320058.4 277:42:49.21 -32:00:58.4 1.977 -10.024 14.302 0.549064 0.28 9.2
VVV2772448.51-313815.8 277:24:48.51 -31:38:15.8 2.209 -9.629 14.765 0.564487 0.36 11.7
VVV2774809.03-314441.3 277:48:09.03 -31:44:41.3 2.258 -9.974 14.875 0.74381 0.28 14.4
VVV2765615.12-312201.4 276:56:15.12 -31:22:01.4 2.274 -9.146 14.277 0.446076 0.28 8.2
VVV2774758.36-314114.2 277:47:58.36 -31:41:14.2 2.31 -9.946 14.263 0.635292 0.29 9.8
VVV2771140.90-312239.8 277:11:40.90 -31:22:39.8 2.363 -9.347 14.176 0.589018 0.24 9.0
VVV2771320.04-312151.2 277:13:20.04 -31:21:51.2 2.386 -9.362 14.449 0.449386 0.34 8.9
VVV2772705.16-312426.7 277:27:05.16 -31:24:26.7 2.434 -9.557 13.232 0.866927 0.26 7.0
VVV2770759.88-311120.0 277:07:59.88 -31:11:20.0 2.511 -9.217 15.116 0.506837 0.26 13.1
VVV2781001.76-313547.4 278:10:01.76 -31:35:47.4 2.531 -10.189 13.834 0.549556 0.33 7.4
VVV2775150.74-312529.0 277:51:50.74 -31:25:29.0 2.574 -9.881 13.859 0.549583 0.23 7.5
VVV2771802.12-311354.2 277:18:02.12 -31:13:54.2 2.536 -9.364 15.011 0.591307 0.24 13.5
VVV2781358.59-312612.9 278:13:58.59 -31:26:12.9 2.702 -10.17 14.731 0.516177 0.32 11.0
VVV2772755.20-310506.1 277:27:55.20 -31:05:06.1 2.732 -9.426 13.413 0.861943 0.26 7.7
VVV2772830.47-310517.6 277:28:30.47 -31:05:17.6 2.733 -9.435 13.884 0.478565 0.34 7.0
VVV2774210.91-310954.4 277:42:10.91 -31:09:54.4 2.75 -9.644 14.274 0.491565 0.35 8.6
VVV2775727.88-311535.4 277:57:27.88 -31:15:35.4 2.76 -9.882 13.786 0.584505 0.3 7.4
VVV2773537.62-310555.8 277:35:37.62 -31:05:55.8 2.769 -9.531 14.998 0.441312 0.25 11.5
VVV2781008.55-311648.1 278:10:08.55 -31:16:48.1 2.821 -10.053 13.261 0.678348 0.21 6.3
VVV2773842.42-310409.1 277:38:42.42 -31:04:09.1 2.815 -9.558 14.284 0.520313 0.28 8.9
VVV2775242.30-310906.1 277:52:42.30 -31:09:06.1 2.829 -9.773 14.795 0.54146 0.34 11.6
VVV2775557.30-310912.2 277:55:57.30 -31:09:12.2 2.848 -9.816 13.567 0.614726 0.29 6.9
VVV2780805.50-310924.2 278:08:05.50 -31:09:24.2 2.921 -9.973 13.716 0.552746 0.31 7.0
VVV2773624.61-305556.1 277:36:24.61 -30:55:56.1 2.926 -9.468 14.392 0.448175 0.26 8.6
VVV2781427.89-310942.3 278:14:27.89 -31:09:42.3 2.957 -10.057 13.193 0.714531 0.27 6.2
VVV2772753.91-304539.5 277:27:53.91 -30:45:39.5 3.027 -9.283 14.135 0.583284 0.36 8.8
VVV2781051.09-310142.7 278:10:51.09 -31:01:42.7 3.056 -9.953 13.879 0.8032 0.17 9.2
VVV2773124.38-303944.9 277:31:24.38 -30:39:44.9 3.139 -9.285 13.913 0.565723 0.35 7.8
VVV2781646.29-305707.5 278:16:46.29 -30:57:07.5 3.163 -9.996 14.411 0.521722 0.24 9.5
VVV2780006.45-304608.2 278:00:06.45 -30:46:08.2 3.225 -9.701 14.729 0.767371 0.22 13.6
VVV2782638.33-305515.9 278:26:38.33 -30:55:15.9 3.254 -10.109 14.215 0.572666 0.27 9.1
VVV2781126.83-304813.1 278:11:26.83 -30:48:13.1 3.265 -9.863 14.003 0.610348 0.31 8.5
VVV2774918.05-303841.9 277:49:18.05 -30:38:41.9 3.269 -9.508 14.25 0.555596 0.31 9.1
VVV2774711.25-320339.2 277:47:11.25 -32:03:39.2 1.963 -10.099 14.23 0.688231 0.3 10.1
VVV2774507.38-315343.2 277:45:07.38 -31:53:43.2 2.102 -10.001 14.139 0.392082 0.34 7.1
VVV2771618.16-312636.2 277:16:18.16 -31:26:36.2 2.332 -9.435 14.426 0.547876 0.37 9.8
VVV2780843.71-312018.5 278:08:43.71 -31:20:18.5 2.759 -10.06 13.403 0.472979 0.26 5.5
VVV2774713.00-304114.9 277:47:13.00 -30:41:14.9 3.217 -9.5 14.235 0.550694 0.27 9.0
VVV2773920.97-303115.2 277:39:20.97 -30:31:15.2 3.319 -9.325 13.973 0.50998 0.25 7.6
VVV2774717.12-303201.9 277:47:17.12 -30:32:01.9 3.358 -9.433 14.632 0.429954 0.3 9.5
VVV2781538.91-304209.0 278:15:38.91 -30:42:09.0 3.384 -9.873 14.887 0.529911 0.33 12.0
VVV2782409.25-304302.6 278:24:09.25 -30:43:02.6 3.424 -9.989 14.153 0.475934 0.27 8.0
VVV2774932.46-302610.9 277:49:32.46 -30:26:10.9 3.461 -9.42 15.637 0.524742 0.29 17.2
VVV2782740.79-303700.4 278:27:40.79 -30:37:00.4 3.539 -9.991 14.664 0.401218 0.35 9.3
VVV2780736.80-302800.7 278:07:36.80 -30:28:00.7 3.548 -9.666 14.549 0.43109 0.31 9.1
VVV2775615.24-302244.0 277:56:15.24 -30:22:44.0 3.556 -9.481 13.832 0.593257 0.32 7.7
VVV2782939.37-303613.5 278:29:39.37 -30:36:13.5 3.563 -10.011 13.668 0.566739 0.32 6.9
VVV2780548.05-301859.2 278:05:48.05 -30:18:59.2 3.674 -9.577 14.255 0.550903 0.22 9.0
VVV2780509.84-295731.3 278:05:09.84 -29:57:31.3 3.996 -9.413 14.533 0.545464 0.23 10.3
VVV2782244.07-300211.6 278:22:44.07 -30:02:11.6 4.038 -9.675 14.349 0.565764 0.26 9.6
VVV2782255.54-295124.4 278:22:55.54 -29:51:24.4 4.203 -9.599 14.454 0.453579 0.3 9.0
VVV2784116.64-295804.3 278:41:16.64 -29:58:04.3 4.218 -9.886 14.184 0.474032 0.26 8.1
VVV2780105.74-294047.5 278:01:05.74 -29:40:47.5 4.224 -9.237 15.031 0.481561 0.34 12.2
VVV2785925.42-300435.0 278:59:25.42 -30:04:35.0 4.234 -10.169 14.852 0.63377 0.28 13.0
VVV2781619.58-294625.5 278:16:19.58 -29:46:25.5 4.236 -9.477 15.095 0.511491 0.32 13.0
VVV2784723.55-295734.4 278:47:23.55 -29:57:34.4 4.265 -9.962 14.89 0.530217 0.28 12.0
VVV2784752.15-295741.8 278:47:52.15 -29:57:41.8 4.266 -9.969 13.782 0.626833 0.3 7.7
VVV2791020.04-295240.6 279:10:20.04 -29:52:40.6 4.485 -10.225 15.371 0.587979 0.34 16.1
VVV2781702.11-294313.4 278:17:02.11 -29:43:13.4 4.29 -9.463 14.784 0.489764 0.32 11.0
VVV2790234.46-300015.5 279:02:34.46 -30:00:15.5 4.32 -10.179 15.631 0.728051 0.27 20.5
VVV2781254.84-293858.2 278:12:54.84 -29:38:58.2 4.328 -9.378 14.378 0.497673 0.34 9.1
VVV2784138.55-294358.1 278:41:38.55 -29:43:58.1 4.436 -9.789 14.36 0.608543 0.21 10.0
VVV2783451.92-293532.9 278:34:51.92 -29:35:32.9 4.521 -9.639 13.354 0.692852 0.31 6.6
VVV2782927.89-291636.2 278:29:27.89 -29:16:36.2 4.774 -9.431 14.544 0.431934 0.34 9.1
VVV2782833.87-301027.8 278:28:33.87 -30:10:27.8 3.949 -9.81 14.315 0.64384 0.37 10.1
VVV2783914.42-295836.1 278:39:14.42 -29:58:36.1 4.197 -9.863 14.967 0.627837 0.3 13.7
VVV2783514.88-295104.5 278:35:14.88 -29:51:04.5 4.287 -9.757 13.691 0.742975 0.3 8.1
VVV2782005.62-293233.8 278:20:05.62 -29:32:33.8 4.471 -9.425 14.814 0.477637 0.4 11.0
VVV2782458.71-291657.1 278:24:58.71 -29:16:57.1 4.74 -9.375 14.375 0.554813 0.26 9.6
VVV2791425.66-293355.0 279:14:25.66 -29:33:55.0 4.798 -10.144 14.155 0.446674 0.29 7.7
VVV2783345.95-285924.7 278:33:45.95 -28:59:24.7 5.063 -9.362 14.832 0.482868 0.38 11.1
VVV2782920.51-285558.7 278:29:20.51 -28:55:58.7 5.087 -9.279 13.527 0.499555 0.3 6.0
VVV2785056.83-290434.4 278:50:56.83 -29:04:34.4 5.095 -9.625 13.803 0.532484 0.26 7.1
VVV2791305.39-291045.1 279:13:05.39 -29:10:45.1 5.143 -9.96 14.018 0.507056 0.31 7.7
VVV2791129.29-290719.9 279:11:29.29 -29:07:19.9 5.185 -9.914 14.26 0.496818 0.22 8.6
VVV2790103.29-285849.9 279:01:03.29 -28:58:49.9 5.248 -9.716 13.509 0.454806 0.36 5.7
VVV2792943.13-290835.4 279:29:43.13 -29:08:35.4 5.282 -10.163 14.271 0.53954 0.36 9.0
VVV2785822.74-285226.5 278:58:22.74 -28:52:26.5 5.328 -9.635 13.439 0.473979 0.25 5.6
VVV2791041.01-285702.3 279:10:41.01 -28:57:02.3 5.337 -9.83 14.438 0.613279 0.29 10.5
VVV2784104.22-283746.1 278:41:04.22 -28:37:46.1 5.439 -9.3 14.194 0.500153 0.29 8.3
VVV2793125.54-285735.7 279:31:25.54 -28:57:35.7 5.461 -10.106 14.879 0.451048 0.39 11.0
VVV2785801.17-283355.0 278:58:01.17 -28:33:55.0 5.607 -9.496 14.608 0.633413 0.26 11.6
VVV2785503.75-282947.5 278:55:03.75 -28:29:47.5 5.651 -9.427 15.527 0.524981 0.37 16.3
VVV2790349.57-282749.6 279:03:49.57 -28:27:49.6 5.737 -9.528 14.541 0.548917 0.26 10.4
VVV2791238.45-283053.6 279:12:38.45 -28:30:53.6 5.748 -9.666 13.805 0.449168 0.35 6.5
VVV2791214.42-283002.5 279:12:14.42 -28:30:02.5 5.758 -9.655 14.431 0.519486 0.24 9.5
VVV2790746.76-282642.3 279:07:46.76 -28:26:42.3 5.78 -9.572 14.32 0.446445 0.25 8.3
VVV2793100.71-283412.9 279:31:00.71 -28:34:12.9 5.815 -9.933 14.474 0.582992 0.29 10.4
VVV2784256.37-280735.9 278:42:56.37 -28:07:35.9 5.909 -9.105 14.098 0.533439 0.24 8.2
VVV2794006.67-282441.5 279:40:06.67 -28:24:41.5 6.019 -9.985 14.457 0.497555 0.31 9.4
VVV2785755.67-280526.9 278:57:55.67 -28:05:26.9 6.039 -9.288 14.13 0.534291 0.32 8.4
VVV2792632.46-281530.6 279:26:32.46 -28:15:30.6 6.072 -9.739 12.484 0.616724 0.3 4.1
VVV2800113.59-282649.8 280:01:13.59 -28:26:49.8 6.121 -10.279 14.219 0.490504 0.34 8.3
VVV2792213.71-280519.1 279:22:13.71 -28:05:19.1 6.199 -9.608 14.287 0.538407 0.26 9.1
VVV2792559.54-280637.3 279:25:59.54 -28:06:37.3 6.204 -9.668 14.726 0.580171 0.33 11.7
VVV2794426.25-280924.0 279:44:26.25 -28:09:24.0 6.28 -9.932 13.69 0.634317 0.35 7.4
VVV2792103.75-291959.0 279:21:03.75 -29:19:59.0 5.053 -10.131 13.979 0.543472 0.29 7.9
VVV2783532.82-285454.1 278:35:32.82 -28:54:54.1 5.143 -9.353 14.303 0.466057 0.26 8.5
VVV2791605.97-280207.6 279:16:05.97 -28:02:07.6 6.208 -9.504 14.901 0.568253 0.28 12.6
VVV2790811.13-274934.1 279:08:11.13 -27:49:34.1 6.348 -9.308 14.602 0.580659 0.25 11.0
VVV2794357.78-280435.5 279:43:57.78 -28:04:35.5 6.35 -9.891 15.255 0.600842 0.32 15.4
VVV2793134.45-275403.1 279:31:34.45 -27:54:03.1 6.431 -9.651 12.921 0.619721 0.25 5.1
VVV2791256.72-274217.4 279:12:56.72 -27:42:17.4 6.489 -9.318 14.623 0.504714 0.34 10.3
VVV2800229.65-275459.7 280:02:29.65 -27:54:59.7 6.616 -10.068 14.502 0.724475 0.29 11.8
VVV2793759.66-274415.4 279:37:59.66 -27:44:15.4 6.622 -9.665 14.3 0.562933 0.27 9.3
VVV2792750.04-273558.5 279:27:50.04 -27:35:58.5 6.682 -9.47 13.562 0.643878 0.23 7.0
VVV2792935.50-272458.6 279:29:35.50 -27:24:58.6 6.861 -9.414 13.706 0.588564 0.3 7.2
VVV2800050.51-273620.4 280:00:50.51 -27:36:20.4 6.891 -9.913 14.205 0.506937 0.32 8.4
VVV2800539.50-273535.6 280:05:39.50 -27:35:35.6 6.933 -9.971 15.281 0.514104 0.25 14.3
VVV2793710.08-271733.4 279:37:10.08 -27:17:33.4 7.023 -9.461 14.306 0.525845 0.3 9.0
VVV2792459.76-270929.9 279:24:59.76 -27:09:29.9 7.066 -9.241 13.834 0.526222 0.29 7.2
VVV2794655.67-271801.4 279:46:55.67 -27:18:01.4 7.08 -9.595 14.875 0.578339 0.28 12.5
VVV2801359.41-272625.5 280:13:59.41 -27:26:25.5 7.127 -10.017 14.093 0.585964 0.26 8.6
VVV2793923.79-270935.9 279:39:23.79 -27:09:35.9 7.159 -9.434 14.768 0.451853 0.33 10.4
VVV2801443.71-272129.5 280:14:43.71 -27:21:29.5 7.207 -9.991 14.83 0.554069 0.36 12.0
VVV2795413.83-270303.2 279:54:13.83 -27:03:03.2 7.355 -9.585 13.84 0.531604 0.33 7.3
VVV2793943.00-264954.3 279:39:43.00 -26:49:54.3 7.461 -9.295 14.801 0.620151 0.34 12.6
VVV2795417.22-264757.8 279:54:17.22 -26:47:57.8 7.586 -9.476 15.11 0.483211 0.25 12.7
VVV2801532.22-265412.7 280:15:32.22 -26:54:12.7 7.629 -9.806 14.674 0.513695 0.31 10.7
VVV2801513.12-265144.8 280:15:13.12 -26:51:44.8 7.664 -9.784 14.938 0.594166 0.33 13.1
VVV2803121.92-265325.6 280:31:21.92 -26:53:25.6 7.744 -10.013 14.273 0.632239 0.24 9.8
VVV2793223.91-274127.0 279:32:23.91 -27:41:27.0 6.628 -9.571 12.648 0.601971 0.31 4.4
VVV2792716.17-270132.8 279:27:16.17 -27:01:32.8 7.202 -9.213 13.787 0.449214 0.3 6.5
VVV2800023.20-265607.3 280:00:23.20 -26:56:07.3 7.501 -9.617 14.148 0.539843 0.3 8.5
VVV2801440.08-264439.7 280:14:40.08 -26:44:39.7 7.769 -9.726 14.684 0.590528 0.36 11.6
VVV2803022.50-264955.2 280:30:22.50 -26:49:55.2 7.791 -9.975 14.528 0.605012 0.2 10.9
VVV2794217.58-262830.3 279:42:17.58 -26:28:30.3 7.803 -9.174 14.032 0.586342 0.26 8.4
VVV2795646.63-262523.7 279:56:46.63 -26:25:23.7 7.945 -9.347 15.599 0.543449 0.35 17.2
VVV2804150.04-264254.4 280:41:50.04 -26:42:54.4 7.972 -10.078 14.253 0.919261 0.2 11.9
VVV2794755.55-261839.8 279:47:55.55 -26:18:39.8 7.99 -9.179 14.754 0.550097 0.25 11.5
VVV2794733.99-261427.4 279:47:33.99 -26:14:27.4 8.051 -9.143 13.333 0.658384 0.27 6.4
VVV2804427.42-263728.6 280:44:27.42 -26:37:28.6 8.072 -10.075 13.713 0.51671 0.32 6.7
VVV2801524.14-262339.9 280:15:24.14 -26:23:39.9 8.094 -9.585 15.301 0.714771 0.25 17.3
VVV2804425.32-263500.0 280:44:25.32 -26:35:00.0 8.11 -10.057 15.815 0.606612 0.31 20.3
VVV2800530.35-261246.8 280:05:30.35 -26:12:46.8 8.195 -9.373 14.753 0.601931 0.27 12.1
VVV2810036.21-263508.0 281:00:36.21 -26:35:08.0 8.213 -10.276 14.227 0.500238 0.3 8.5
VVV2805541.95-263056.3 280:55:41.95 -26:30:56.3 8.245 -10.18 14.771 0.434228 0.32 10.2
VVV2803942.66-262334.5 280:39:42.66 -26:23:34.5 8.254 -9.911 14.775 0.499758 0.27 11.0
VVV2810036.57-263049.2 281:00:36.57 -26:30:49.2 8.279 -10.245 14.569 0.494587 0.27 9.9
VVV2802126.13-261120.4 280:21:26.13 -26:11:20.4 8.321 -9.577 14.278 0.56887 0.27 9.3
VVV2801526.49-260630.8 280:15:26.49 -26:06:30.8 8.355 -9.461 14.489 0.607124 0.32 10.7
VVV2801525.90-260135.9 280:15:25.90 -26:01:35.9 8.43 -9.426 14.028 0.68217 0.23 9.1
VVV2810305.62-261630.4 281:03:05.62 -26:16:30.4 8.514 -10.176 13.927 0.509583 0.33 7.4
VVV2804644.76-260422.5 280:46:44.76 -26:04:22.5 8.593 -9.869 13.777 0.763744 0.3 8.6
VVV2802658.36-254048.9 280:26:58.36 -25:40:48.9 8.823 -9.432 13.91 0.69129 0.27 8.6
VVV2811930.83-255731.3 281:19:30.83 -25:57:31.3 8.912 -10.263 13.566 0.59193 0.29 6.7
VVV2805030.82-253505.1 280:50:30.82 -25:35:05.1 9.065 -9.71 14.495 0.825893 0.28 12.6
VVV2810939.26-254017.8 281:09:39.26 -25:40:17.8 9.111 -10.007 15.252 0.440556 0.37 13.0
VVV2805524.03-253310.2 280:55:24.03 -25:33:10.2 9.126 -9.762 13.716 0.797703 0.3 8.5
VVV2802720.86-251819.0 280:27:20.86 -25:18:19.0 9.168 -9.274 13.812 0.642426 0.25 7.9
VVV2812050.62-253935.3 281:20:50.62 -25:39:35.3 9.195 -10.153 14.62 0.460344 0.3 9.8
VVV2803455.67-251756.3 280:34:55.67 -25:17:56.3 9.224 -9.375 14.076 0.579818 0.26 8.5
VVV2802856.95-250922.8 280:28:56.95 -25:09:22.8 9.314 -9.231 13.503 0.564953 0.32 6.4
VVV2811646.29-252959.1 281:16:46.29 -25:29:59.1 9.315 -10.03 14.39 0.403729 0.35 8.2
VVV2811711.83-251748.4 281:17:11.83 -25:17:48.4 9.504 -9.948 14.203 0.560708 0.27 8.9
VVV2812211.01-251435.5 281:22:11.01 -25:14:35.5 9.586 -9.993 13.903 0.480314 0.38 7.1
VVV2805903.63-250258.5 280:59:03.63 -25:02:58.5 9.611 -9.595 14.132 0.502434 0.33 8.1
VVV2810202.22-250322.6 281:02:02.22 -25:03:22.6 9.625 -9.638 14.245 0.551213 0.31 9.0
VVV2813332.34-251619.1 281:33:32.34 -25:16:19.1 9.634 -10.16 15.908 0.673292 0.34 22.4
VVV2803934.33-245140.4 280:39:34.33 -24:51:40.4 9.654 -9.248 16.13 0.569278 0.31 22.8
VVV2804929.53-245445.5 280:49:29.53 -24:54:45.5 9.673 -9.405 13.907 0.702578 0.3 8.7
VVV2803344.66-244428.8 280:33:44.66 -24:44:28.8 9.725 -9.117 14.284 0.651347 0.32 10.0
VVV2804034.80-244715.0 280:40:34.80 -24:47:15.0 9.728 -9.23 14.167 0.65028 0.27 9.5
VVV2811245.70-245604.8 281:12:45.70 -24:56:04.8 9.807 -9.732 14.34 0.767607 0.24 11.3
VVV2804152.38-244122.0 280:41:52.38 -24:41:22.0 9.826 -9.205 14.181 0.634675 0.3 9.4
VVV2814157.07-250704.2 281:41:57.07 -25:07:04.2 9.831 -10.209 14.806 0.630227 0.31 12.7
VVV2813914.17-250436.4 281:39:14.17 -25:04:36.4 9.851 -10.154 13.868 0.513152 0.31 7.2
VVV2805616.17-244416.5 280:56:16.17 -24:44:16.5 9.878 -9.422 13.743 0.607489 0.31 7.4
VVV2813832.22-250138.2 281:38:32.22 -25:01:38.2 9.892 -10.124 14.463 0.485661 0.32 9.3
VVV2810628.13-244355.6 281:06:28.13 -24:43:55.6 9.951 -9.559 14.707 0.543266 0.32 11.2
VVV2804759.66-242224.3 280:47:59.66 -24:22:24.3 10.155 -9.151 15.097 0.583867 0.27 14.0
VVV2811637.38-243253.3 281:16:37.38 -24:32:53.3 10.186 -9.618 14.45 0.440176 0.36 8.8
VVV2805620.38-241857.9 280:56:20.38 -24:18:57.9 10.264 -9.241 14.302 0.617113 0.24 9.8
VVV2804949.69-241434.0 280:49:49.69 -24:14:34.0 10.287 -9.12 13.671 0.593867 0.24 7.1
VVV2812737.26-243009.2 281:27:37.26 -24:30:09.2 10.301 -9.749 13.678 0.556034 0.28 6.9
VVV2813610.55-242411.0 281:36:10.55 -24:24:11.0 10.449 -9.824 14.299 0.526457 0.23 9.0
VVV2815149.21-242721.0 281:51:49.21 -24:27:21.0 10.504 -10.061 14.548 0.717916 0.27 12.0
VVV2814012.88-241711.2 281:40:12.88 -24:17:11.2 10.582 -9.829 13.674 0.583652 0.28 7.0
VVV2814456.96-241551.8 281:44:56.96 -24:15:51.8 10.634 -9.885 16.035 0.543925 0.24 21.2
VVV2811745.83-235916.9 281:17:45.83 -23:59:16.9 10.706 -9.392 12.096 0.524332 0.3 3.1
VVV2811241.49-235622.9 281:12:41.49 -23:56:22.9 10.716 -9.302 16.244 0.701346 0.3 27.0
VVV2684446.63-413137.1 268:44:46.63 -41:31:37.1 -9.908 -8.039 14.641 0.472833 0.3 10.0
